,0
0,0.0
1,0.02
2,0.08
3,0.05
4,0.03
5,0.02
6,0.04
7,0.1
8,0.12
9,0.14
10,0.12
11,0.24
12,0.28
13,0.3
14,0.29
15,0.3
16,0.31
17,0.3
18,0.34
19,0.42
20,0.51
21,0.54
22,0.59
23,0.77
24,1.12
25,1.18
26,1.19
27,1.52
28,2.31
29,2.73
30,2.77
31,2.91
32,2.98
33,3.13
34,3.69
35,3.73
36,4.04
37,4.12
38,4.2
39,4.29
40,4.3
41,4.48
42,4.7
43,4.71
44,5.25
45,6.15
46,6.45
47,6.48
48,7.18
49,7.59
50,8.1
51,8.57
52,9.26
53,9.81
54,9.88
55,10.97
56,11.13
57,11.55
58,11.82
59,11.81
60,12.28
61,12.4
62,12.6
63,13.01
64,13.3
65,13.47
66,13.94
67,14.31
68,14.71
69,15.12
70,15.29
71,15.57
72,15.82
73,16.32
74,16.44
75,16.75
76,17.38
77,17.55
78,17.7
79,17.72
80,17.86
81,18.27
82,18.35
83,18.75
84,18.86
85,19.62
86,20.07
87,20.24
88,20.22
89,20.98
90,21.0
91,21.71
92,21.78
93,21.94
94,22.21
95,22.29
96,22.61
97,23.35
98,23.41
99,23.6
100,24.06
101,24.21
102,24.6
103,25.17
104,25.48
105,26.0
106,26.89
107,26.94
108,27.33
109,27.9
110,28.29
111,28.53
112,28.75
113,28.85
114,28.93
115,29.34
116,30.13
117,30.55
118,31.11
119,31.52
120,31.49
121,31.68
122,31.68
123,32.15
124,32.33
125,32.52
126,33.13
127,33.0
128,32.5
129,32.15
130,32.26
131,32.15
132,32.53
133,32.47
134,32.38
135,32.52
136,32.23
137,32.69
138,33.29
139,33.38
140,34.31
141,35.43
142,35.66
143,36.12
144,35.77
145,34.89
146,35.14
147,36.37
148,36.01
149,36.0
150,35.82
151,35.54
152,35.51
153,35.22
154,35.29
155,34.22
156,34.09
157,34.19
158,34.33
159,34.64
160,35.2
161,35.13
162,35.22
163,34.82
164,34.55
165,34.41
166,34.44
167,34.42
168,34.11
169,33.85
170,34.41
171,34.44
172,34.46
173,34.68
174,34.84
175,34.68
176,34.51
177,34.48
178,34.73
179,35.59
180,35.57
181,35.29
182,35.49
183,35.82
184,35.91
185,35.55
186,36.3
187,36.46
188,36.51
189,36.07
190,36.29
191,35.84
192,35.81
193,35.91
194,35.73
195,35.67
196,35.46
197,35.12
198,35.19
199,35.24
200,35.13
201,36.49
202,36.32
203,36.84
204,36.92
205,36.72
206,36.75
207,36.69
208,36.34
209,35.97
210,36.74
211,37.31
212,37.29
213,37.72
214,37.83
215,37.55
216,37.62
217,38.76
218,38.67
219,38.43
220,38.36
221,38.39
222,39.59
223,39.29
224,38.82
225,38.79
226,38.33
227,38.55
228,39.45
229,39.74
230,40.22
231,40.98
232,41.01
233,41.62
234,41.3
235,41.12
236,41.18
237,41.23
238,40.65
239,40.85
240,39.97
241,39.31
242,39.49
243,39.05
244,39.28
245,39.57
246,39.23
247,38.06
248,38.2
249,37.89
250,37.75
251,38.19
252,37.67
253,38.32
254,38.26
255,38.71
256,39.03
257,39.09
258,39.22
259,39.42
260,38.92
261,38.92
262,38.71
263,38.87
264,39.56
265,40.02
266,39.95
267,40.21
268,40.69
269,41.13
270,40.75
271,40.71
272,42.03
273,43.14
274,43.89
275,44.41
276,44.74
277,44.89
278,44.5
279,43.94
280,43.92
281,44.57
282,44.33
283,43.84
284,43.92
285,43.94
286,42.86
287,43.21
288,43.67
289,44.52
290,44.48
291,45.7
292,45.68
293,46.3
294,46.93
295,48.01
296,48.36
297,48.91
298,49.18
299,49.07
300,49.53
301,48.1
302,47.9
303,48.4
304,48.64
305,48.48
306,48.28
307,48.63
308,49.17
309,50.11
310,50.54
311,49.72
312,50.21
313,49.89
314,49.95
315,50.26
316,49.87
317,48.81
318,48.36
319,48.37
320,48.46
321,48.61
322,47.98
323,47.76
324,47.82
325,49.04
326,49.35
327,49.0
328,48.67
329,49.07
330,49.39
331,48.78
332,48.55
333,48.79
334,49.01
335,49.99
336,50.24
337,49.86
338,49.86
339,50.29
340,50.68
341,50.36
342,50.01
343,50.9
344,51.5
345,51.29
346,51.39
347,51.64
348,51.49
349,51.62
350,51.98
351,52.31
352,52.38
353,51.56
354,52.77
355,52.65
356,53.52
357,52.95
358,53.1
359,52.87
360,53.59
361,54.16
362,54.49
363,54.66
364,54.67
365,55.46
366,55.91
367,55.5
368,55.02
369,54.86
370,54.72
371,55.72
372,54.33
373,53.44
374,53.87
375,53.22
376,52.81
377,52.83
378,52.94
379,53.32
380,53.58
381,52.79
382,52.84
383,53.33
384,53.44
385,53.07
386,53.18
387,52.61
388,52.46
389,51.41
390,51.43
391,50.71
392,50.77
393,50.26
394,50.15
395,49.67
396,50.0
397,49.42
398,49.08
399,49.26
400,49.02
401,48.99
402,50.15
403,48.85
404,49.45
405,49.38
406,49.34
407,49.84
408,50.44
409,49.48
410,48.04
411,47.95
412,47.36
413,48.59
414,48.42
415,48.52
416,49.18
417,48.99
418,49.53
419,49.6
420,50.73
421,50.39
422,50.16
423,50.87
424,50.79
425,49.54
426,49.56
427,49.6
428,49.28
429,48.73
430,48.47
431,49.26
432,49.82
433,49.76
434,49.84
435,50.32
436,50.49
437,51.43
438,51.43
439,50.71
440,50.51
441,51.27
442,51.3
443,50.92
444,49.93
445,49.89
446,50.08
447,49.8
448,49.54
449,50.11
450,50.67
451,50.23
452,50.05
453,50.07
454,50.76
455,50.87
456,50.33
457,51.81
458,51.2
459,51.04
460,51.72
461,51.28
462,50.99
463,50.69
464,50.29
465,49.27
466,48.72
467,49.18
468,49.55
469,49.55
470,50.35
471,50.01
472,49.84
473,48.89
474,48.85
475,48.85
476,49.0
477,49.05
478,49.38
479,49.22
480,49.87
481,50.49
482,50.48
483,49.88
484,49.65
485,50.07
486,50.67
487,51.14
488,51.03
489,51.03
490,51.74
491,51.09
492,51.23
493,51.19
494,51.2
495,51.43
496,51.33
497,51.85
498,52.6
499,53.28
500,53.27
501,54.31
502,53.89
503,54.1
504,53.58
505,53.57
506,52.91
507,52.18
508,52.2
509,52.75
510,52.72
511,52.99
512,52.93
513,51.9
514,52.17
515,52.37
516,52.13
517,52.43
518,51.88
519,51.54
520,51.76
521,51.9
522,51.51
523,51.03
524,50.97
525,52.62
526,52.21
527,52.14
528,52.5
529,53.49
530,52.94
531,52.13
532,51.49
533,51.37
534,51.07
535,49.65
536,50.34
537,49.3
538,49.68
539,49.69
540,50.22
541,49.29
542,49.18
543,48.69
544,49.1
545,50.12
546,50.2
547,50.71
548,50.83
549,50.28
550,51.23
551,51.67
552,51.73
553,51.89
554,49.95
555,49.63
556,48.97
557,47.96
558,48.12
559,48.48
560,47.08
561,48.1
562,48.31
563,48.55
564,48.31
565,48.57
566,49.11
567,49.88
568,49.62
569,49.5
570,48.93
571,48.25
